"AccountId","AccountDescription","AccountParentId","StoreId","StoreDescription","LocationId","LocationDescription","ProductId","ProductDescription","Sales_ManagerId","Sales_ManagerDescription","DateDATE","DateYear","DateQuarter","DateMonth","DateDAY","CategoryVersion","CategoryCategory","CategoryType","Value","ValueUnit"
"Original_Sales_Price","Original Sales Price","","ST43","franchescini Hand","CT14","Salem","PD23","IPA","SM1","Janet Bury","2014-12-01","2014","20144","201412","1","Actual","Actuals","public","1779.7639099","USD"
"Original_Sales_Price","Original Sales Price","","ST35","Quality Shopping","CT14","Salem","PD2","Pepsi","SM4","Nancy Miller","2014-10-01","2014","20144","201410","1","Actual","Actuals","public","130.9571129","USD"
"Original_Sales_Price","Original Sales Price","","ST98","Walter Store Inc","CT14","Salem","PD24","Amber","SM1","Janet Bury","2014-06-01","2014","20142","201406","1","Actual","Actuals","public","10226.4493955","USD"
"Original_Sales_Price","Original Sales Price","","ST188","Arrowhead Corner Store","CT1","Los Angeles","PD19","Coconut Water","SM8","Gabriel Walton","2016-11-01","2016","20164","201611","1","Actual","Actuals","public","383.0786893","USD"
"Original_Sales_Price","Original Sales Price","","ST107","Spire Market","CT5","San Jose","PD15","Pineapple Juice","SM5","David Carl","2015-12-01","2015","20154","201512","1","Actual","Actuals","public","3110.303679","USD"
"Original_Sales_Price","Original Sales Price","","ST133","Rupert Corner Store","CT6","Oakland","PD25","Low Calorie Beer","SM8","Gabriel Walton","2016-10-01","2016","20164","201610","1","Actual","Actuals","public","2368.821747","USD"
"Original_Sales_Price","Original Sales Price","","ST119","Pay N Go","CT2","San Francisco","PD11","Orange no pulp","SM7","Kiran Raj","2015-03-01","2015","20151","201503","1","Actual","Actuals","public","548.2268469","USD"
"Original_Sales_Price","Original Sales Price","","ST159","United Supermarket","CT1","Los Angeles","PD21","Dark Beer","SM5","David Carl","2015-04-01","2015","20152","201504","1","Actual","Actuals","public","5815.3105372","USD"
"Original_Sales_Price","Original Sales Price","","ST52","Sennate","CT4","Sacramento","PD1","Coca-Cola","SM5","David Carl","2014-02-01","2014","20141","201402","1","Actual","Actuals","public","1058.6006163","USD"
"Original_Sales_Price","Original Sales Price","","ST23","L Mart","CT4","Sacramento","PD10","Orange with pulp","SM8","Gabriel Walton","2014-04-01","2014","20142","201404","1","Actual","Actuals","public","779084.8505397","USD"
"Original_Sales_Price","Original Sales Price","","ST169","City Market","CT18","Beaverton","PD13","Apple Cider","SM4","Nancy Miller","2014-01-01","2014","20141","201401","1","Actual","Actuals","public","13560.4050816","USD"
"Original_Sales_Price","Original Sales Price","","ST197","Richmond Night Market","CT8","Beverly Hills","PD2","Pepsi","SM7","Kiran Raj","2015-11-01","2015","20154","201511","1","Actual","Actuals","public","1685.5866015","USD"
